MOVIES,YEAR,GENRE,RATING,VOTES,RunTime
Young Royals,(2021– ),"
Drama, Romance            ",8.6,"16,954",50.0
The Hitman's Bodyguard,-2017,"
Action, Comedy, Crime            ",6.9,"205,979",118.0
Mad Men,(2007–2015),"
Drama            ",8.6,"216,203",47.0
Élite,(2018– ),"
Crime, Drama, Thriller            ",7.5,"59,730",60.0
Gilmore Girls,(2000–2007),"
Comedy, Drama            ",8.1,"106,650",44.0
Sky Rojo,(2021– ),"
Action, Adventure, Crime            ",6.5,"6,940",31.0
Lupin,(2021– ),"
Action, Crime, Drama            ",7.5,"84,428",45.0
Trollhunters: Rise of the Titans,-2021,"
Animation, Action, Adventure            ",6.9,"2,353",104.0
Heartland,(II) (2007– ),"
Drama, Family            ",8.4,"11,764",45.0
Jurassic Park,-1993,"
Action, Adventure, Sci-Fi            ",8.1,"897,444",127.0
Family Guy,(1999–2022),"
Animation, Comedy            ",8.1,"312,584",22.0
Daredevil,(2015–2018),"
Action, Crime, Drama            ",8.6,"374,963",54.0
Dark,(2017–2020),"
Crime, Drama, Mystery            ",8.8,"312,629",60.0
Boku no hîrô akademia,(2016– ),"
Animation, Action, Adventure            ",8.4,"44,367",24.0
Cobra Kai,(2018– ),"
Action, Comedy, Drama            ",8.6,"122,268",30.0
 Kingdom,(2019– ),"
Action, Drama, History            ",7.1,"6,388",92.0
Gotham,(2014–2019),"
Action, Crime, Drama            ",7.8,"216,458",42.0
Billions,(2016– ),"
Drama            ",8.4,"74,094",60.0
Agents of S.H.I.E.L.D.,(2013–2020),"
Action, Adventure, Drama            ",7.5,"205,119",45.0
Don't Breathe,-2016,"
Crime, Horror, Thriller            ",7.1,"237,601",88.0
The Ice Road,-2021,"
Action, Adventure, Drama            ",5.6,"20,561",109.0
Arrow,(2012–2020),"
Action, Adventure, Crime            ",7.5,"414,712",42.0
Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",8.0,"284,554",59.0
Gossip Girl,(2007–2012),"
Drama, Romance            ",7.4,"159,666",42.0
Bridgerton,(2020– ),"
Drama, Romance            ",7.3,"83,944",60.0
The Kominsky Method,(2018–2021),"
Comedy, Drama            ",8.2,"33,440",30.0
Homeland,(2011–2020),"
Crime, Drama, Mystery            ",8.3,"322,307",55.0
Riverdale,(2017– ),"
Crime, Drama, Mystery            ",6.8,"126,112",45.0
Sherlock,(2010–2017),"
Crime, Drama, Mystery            ",9.1,"839,029",88.0
Queen of the South,(2016–2021),"
Action, Crime, Drama            ",8.0,"23,318",42.0
CSI: Crime Scene Investigation,(2000–2015),"
Crime, Drama, Mystery            ",7.6,"78,589",60.0
The Umbrella Academy,(2019– ),"
Action, Adventure, Comedy            ",8.0,"175,513",60.0
Supergirl,(2015–2021),"
Action, Adventure, Drama            ",6.2,"115,373",43.0
BoJack Horseman,(2014–2020),"
Animation, Comedy, Drama            ",8.7,"124,318",25.0
The Lord of the Rings: The Fellowship of the Ring,-2001,"
Action, Adventure, Drama            ",8.8,"1,713,028",178.0
I Think You Should Leave with Tim Robinson,(2019– ),"
Comedy            ",7.8,"8,095",16.0
South Park,(1997– ),"
Animation, Comedy            ",8.7,"340,148",22.0
Once Upon a Time,(2011–2018),"
Adventure, Fantasy, Romance            ",7.7,"212,616",60.0
Star Trek: Discovery,(2017– ),"
Action, Adventure, Drama            ",7.2,"101,079",60.0
Teen Wolf,(2011–2017),"
Action, Drama, Fantasy            ",7.6,"132,950",41.0
How to Get Away with Murder,(2014–2020),"
Crime, Drama, Mystery            ",8.1,"136,135",43.0
Star Trek: Deep Space Nine,(1993–1999),"
Action, Adventure, Drama            ",8.0,"55,687",45.0
Seinfeld,(1989–1998),"
Comedy            ",8.8,"264,801",22.0
Spartacus: Blood and Sand,(2010–2013),"
Action, Adventure, Biography            ",8.5,"228,484",55.0
Hawaii Five-0,(2010–2020),"
Action, Crime, Drama            ",7.3,"68,627",42.0
Good Witch,(2015–2021),"
Comedy, Drama, Fantasy            ",7.3,"8,268",48.0
The Sinner,(2017– ),"
Crime, Drama, Mystery            ",7.9,"96,901",45.0
Arrested Development,(2003–2019),"
Comedy            ",8.7,"284,373",22.0
Escape Room,(I) (2019),"
Action, Adventure, Horror            ",6.4,"99,351",99.0
You,(2018– ),"
Crime, Drama, Romance            ",7.7,"157,666",45.0
Mindhunter,(2017–2019),"
Crime, Drama, Thriller            ",8.6,"235,694",60.0
Jaws,-1975,"
Adventure, Thriller            ",8.0,"558,731",124.0
Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",9.3,"265,845",23.0
The Punisher,(2017–2019),"
Action, Crime, Drama            ",8.5,"194,777",53.0
Star Trek: Voyager,(1995–2001),"
Action, Adventure, Sci-Fi            ",7.8,"61,917",44.0
The Departed,-2006,"
Crime, Drama, Thriller            ",8.5,"1,227,522",151.0
Narcos,(2015–2017),"
Biography, Crime, Drama            ",8.8,"375,261",49.0
The Serpent,-2021,"
Crime, Drama, Thriller            ",7.6,"33,936",58.0
Star Wars: The Clone Wars,(2008–2020),"
Animation, Action, Adventure            ",8.3,"71,904",23.0
"Murder, She Wrote",(1984–1996),"
Crime, Drama, Mystery            ",7.0,"20,330",50.0
Fatherhood,-2021,"
Comedy, Drama            ",6.7,"26,508",109.0
Blue Bloods,(2010– ),"
Crime, Drama, Mystery            ",7.6,"34,064",43.0
Heist,(2021– ),"
Documentary, Crime, Mystery            ",6.8,846,41.0
The Woman in the Window,-2021,"
Crime, Drama, Mystery            ",5.7,"57,048",100.0
Black Summer,(2019– ),"
Action, Drama, Horror            ",6.5,"25,453",40.0
Gone Girl,-2014,"
Drama, Mystery, Thriller            ",8.1,"895,888",149.0
Jumanji: Welcome to the Jungle,-2017,"
Action, Adventure, Comedy            ",6.9,"337,900",119.0
American Psycho,-2000,"
Comedy, Crime, Drama            ",7.6,"517,014",101.0
House of Cards,(2013–2018),"
Drama            ",8.7,"476,656",51.0
Miraculous: Tales of Ladybug & Cat Noir,(2015– ),"
Animation, Action, Adventure            ",7.7,"8,300",20.0
Mayor Grom: Chumnoy Doktor,-2021,"
Action, Adventure            ",6.3,"8,466",136.0
Demon Slayer: Kimetsu No Yaiba,(2019– ),"
Animation, Action, Fantasy            ",8.7,"46,259",25.0
Jane the Virgin,(2014–2019),"
Comedy            ",7.8,"41,758",60.0
The Good Wife,(2009–2016),"
Crime, Drama, Mystery            ",8.3,"70,021",43.0
The Good Place,(2016–2020),"
Comedy, Drama, Fantasy            ",8.2,"127,417",22.0
The Americans,(2013–2018),"
Crime, Drama, Mystery            ",8.4,"88,962",44.0
Glee,(2009–2015),"
Comedy, Drama, Music            ",6.7,"139,934",44.0
Bo Burnham: Inside,(2021 TV Special),"
Comedy, Drama, Music            ",8.7,"31,108",87.0
Kill Bill: Vol. 1,-2003,"
Action, Crime, Drama            ",8.1,"1,034,554",111.0
Bartkowiak,-2021,"
Action, Crime, Sport            ",5.0,398,91.0
Castlevania,(2017–2021),"
Animation, Action, Adventure            ",8.3,"51,802",23.0
300,-2006,"
Action, Drama            ",7.6,"751,815",117.0
Dawson's Creek,(1998–2003),"
Drama, Romance            ",6.6,"38,117",60.0
It,(I) (2017),"
Horror            ",7.3,"480,607",135.0
Pretty Little Liars,(2010–2017),"
Drama, Mystery, Romance            ",7.4,"155,875",44.0
Star Trek,(1966–1969),"
Action, Adventure, Sci-Fi            ",8.3,"76,213",50.0
Archer,(2009– ),"
Animation, Action, Comedy            ",8.6,"141,784",22.0
Spider-Man: Far from Home,-2019,"
Action, Adventure, Sci-Fi            ",7.5,"363,012",129.0
Twin Peaks,(1990–1991),"
Crime, Drama, Mystery            ",8.8,"182,173",47.0
The Mitchells vs the Machines,-2021,"
Animation, Adventure, Comedy            ",7.7,"69,482",113.0
The Bold Type,(2017–2021),"
Comedy, Drama            ",7.9,"16,183",45.0
"Love, Death & Robots",(2019– ),"
Animation, Short, Comedy            ",8.5,"120,364",15.0
Hostage House,-2021,"
Thriller            ",3.7,315,85.0
The Hobbit: An Unexpected Journey,-2012,"
Adventure, Fantasy            ",7.8,"774,632",169.0
Clueless,-1995,"
Comedy, Romance            ",6.8,"194,461",97.0
Ray Donovan,(2013–2020),"
Crime, Drama            ",8.3,"79,618",60.0
Transformers: War for Cybertron,(2020–2021),"
Animation, Action, Adventure            ",7.4,"2,923",30.0
Baywatch,-2017,"
Action, Comedy, Crime            ",5.5,"170,844",116.0
Trollhunters,(2016–2018),"
Animation, Action, Adventure            ",8.4,"14,759",23.0
Snowpiercer,(2020– ),"
Action, Drama, Sci-Fi            ",6.9,"39,433",60.0
Workin' Moms,(2017– ),"
Comedy            ",7.7,"12,896",30.0
The Devil All the Time,-2020,"
Crime, Drama, Thriller            ",7.1,"108,684",138.0
Broadchurch,(2013–2017),"
Crime, Drama, Mystery            ",8.4,"100,611",48.0
Fast & Furious 7,-2015,"
Action, Adventure, Thriller            ",7.1,"371,194",137.0
L.A.'s Finest,(2019–2020),"
Action, Comedy, Crime            ",6.0,"5,667",60.0
Good on Paper,-2021,"
Comedy, Romance            ",5.6,"8,099",92.0
Iron Fist,(2017–2018),"
Action, Adventure, Crime            ",6.5,"118,859",55.0
Too Hot to Handle,(2020– ),"
Game-Show, Reality-TV, Romance            ",4.6,"10,008",40.0
Haseen Dillruba,-2021,"
Crime, Drama, Mystery            ",6.9,"18,149",135.0
Hannibal,(2013–2015),"
Crime, Drama, Horror            ",8.5,"236,161",44.0
Longmire,(2012–2017),"
Action, Crime, Drama            ",8.3,"30,685",60.0
Sicario,-2015,"
Action, Crime, Drama            ",7.6,"387,903",121.0
The Fall,(I) (2013–2016),"
Crime, Drama, Thriller            ",8.1,"89,590",60.0
The Irishman,-2019,"
Biography, Crime, Drama            ",7.8,"345,455",209.0
Jujutsu Kaisen,(2020– ),"
Animation, Action, Adventure            ",8.7,"25,386",24.0
The Lord of the Rings: The Return of the King,-2003,"
Action, Adventure, Drama            ",8.9,"1,691,777",201.0
Baby Driver,-2017,"
Action, Crime, Drama            ",7.6,"468,655",113.0
Dynasty,(2017– ),"
Drama            ",7.3,"16,666",42.0
Spider-Man,-2002,"
Action, Adventure, Sci-Fi            ",7.3,"709,684",121.0
Jumanji: The Next Level,-2019,"
Action, Adventure, Comedy            ",6.7,"205,638",123.0
I Care a Lot,-2020,"
Comedy, Crime, Thriller            ",6.3,"109,059",118.0
Love and Monsters,(I) (2020),"
Action, Adventure, Comedy            ",7.0,"100,693",109.0
Awake,(III) (2021),"
Action, Adventure, Drama            ",4.8,"16,262",96.0
The Haunting of Hill House,-2018,"
Drama, Horror, Mystery            ",8.6,"195,117",572.0
Things Heard & Seen,-2021,"
Drama, Horror, Mystery            ",5.3,"24,250",121.0
NCIS: Los Angeles,(2009– ),"
Action, Crime, Drama            ",6.7,"49,943",43.0
Arrival,(II) (2016),"
Drama, Sci-Fi            ",7.9,"623,912",116.0
Taxi Driver,-1976,"
Crime, Drama            ",8.2,"752,553",114.0
Grease,-1978,"
Musical, Romance            ",7.2,"250,587",110.0
El inocente,-2021,"
Crime, Drama, Mystery            ",7.9,"19,980",467.0
The Movies That Made Us,(2019– ),"
Documentary            ",7.8,"3,653",45.0
Ragnarok,(2020– ),"
Action, Drama, Fantasy            ",7.5,"31,200",45.0
The King,(I) (2019),"
Biography, Drama, History            ",7.2,"97,848",140.0
Jupiter's Legacy,-2021,"
Action, Adventure, Drama            ",6.7,"31,953",56.0
Designated Survivor,(2016–2019),"
Action, Drama, Mystery            ",7.5,"81,326",60.0
White Collar,(2009–2014),"
Comedy, Crime, Drama            ",8.2,"122,230",40.0
The Dig,-2021,"
Biography, Drama, History            ",7.1,"60,598",112.0
Dirty John,(2018– ),"
Crime, Drama            ",7.2,"18,088",44.0
The Old Guard,-2020,"
Action, Adventure, Fantasy            ",6.7,"141,605",125.0
Venom,-2018,"
Action, Adventure, Sci-Fi            ",6.7,"390,167",112.0
The Killing,(2011–2014),"
Crime, Drama, Mystery            ",8.2,"102,312",45.0
Skins,(2007–2013),"
Drama            ",8.2,"77,286",46.0
6 Underground,-2019,"
Action, Thriller            ",6.1,"150,455",128.0
The Fate of the Furious,-2017,"
Action, Adventure, Crime            ",6.6,"215,795",136.0
Captain America: Civil War,-2016,"
Action, Adventure, Sci-Fi            ",7.8,"697,750",147.0
Rurôni Kenshin: Sai shûshô - The Beginning,-2021,"
Action, Adventure, Drama            ",7.8,"1,976",137.0
Death Note: Desu nôto,(2006–2007),"
Animation, Crime, Drama            ",9.0,"262,556",24.0
Naruto,(2002–2007),"
Animation, Action, Adventure            ",8.3,"79,832",24.0
Black Sails,(2014–2017),"
Adventure, Drama            ",8.2,"96,550",56.0
Run,(I) (2020),"
Mystery, Thriller            ",6.7,"55,389",90.0
Orphan Black,(2013–2017),"
Action, Drama, Sci-Fi            ",8.3,"104,501",44.0
Grimm,(2011–2017),"
Crime, Drama, Fantasy            ",7.8,"111,716",45.0
Luther,(2010–2019),"
Crime, Drama, Mystery            ",8.4,"125,749",60.0
Sen to Chihiro no kamikakushi,-2001,"
Animation, Adventure, Family            ",8.6,"682,809",125.0
Murdoch Mysteries,(2008– ),"
Crime, Drama, Mystery            ",8.1,"11,437",48.0
Wish Dragon,-2021,"
Animation, Adventure, Comedy            ",7.2,"15,262",98.0
Resident Evil: Infinite Darkness,(2021– ),"
Animation, Action, Horror            ",5.8,"7,128",26.0
Reign,(2013–2017),"
Drama, Fantasy            ",7.5,"45,045",42.0
Elementary,(2012–2019),"
Crime, Drama, Mystery            ",7.9,"103,707",60.0
The Girl in the Spider's Web,-2018,"
Action, Crime, Drama            ",6.1,"43,896",115.0
Kong: Skull Island,-2017,"
Action, Adventure, Fantasy            ",6.6,"294,292",118.0
The Missing,(2014–2016),"
Crime, Drama, Mystery            ",8.2,"23,317",60.0
Hagane no renkinjutsushi,(2009–2012),"
Animation, Action, Adventure            ",9.1,"134,855",24.0
Altered Carbon,(2018–2020),"
Action, Drama, Sci-Fi            ",8.0,"149,002",60.0
Enterprise,(2001–2005),"
Action, Adventure, Drama            ",7.5,"48,148",60.0
Black Clover,(2017–2021),"
Animation, Action, Adventure            ",8.3,"13,218",24.0
Uncut Gems,-2019,"
Crime, Drama, Thriller            ",7.4,"239,770",135.0
American Crime Story,(2016– ),"
Biography, Crime, Drama            ",8.4,"83,137",42.0
Bloodline,(2015–2017),"
Drama, Thriller            ",7.9,"46,111",60.0
Revenge,(2011–2015),"
Drama, Mystery, Thriller            ",7.8,"114,932",44.0
The Revenant,-2015,"
Action, Adventure, Drama            ",8.0,"732,244",156.0
Z Nation,(2014–2018),"
Action, Comedy, Drama            ",6.7,"34,226",44.0
Polar,(I) (2019),"
Action, Crime, Drama            ",6.3,"80,553",118.0
Kim's Convenience,(2016–2021),"
Comedy            ",8.2,"12,443",22.0
Grace and Frankie,(2015–2021),"
Comedy            ",8.3,"41,520",30.0
The Lord of the Rings: The Two Towers,-2002,"
Action, Adventure, Drama            ",8.7,"1,529,752",179.0
Love Is Blind,(2020– ),"
Reality-TV, Romance            ",6.1,"5,342",48.0
Legally Blonde,-2001,"
Comedy, Romance            ",6.3,"195,752",96.0
Jessica Jones,(2015–2019),"
Action, Crime, Drama            ",7.9,"198,056",56.0
Rust Creek,-2018,"
Crime, Drama, Thriller            ",5.9,"9,263",108.0
American Vandal,(2017–2018),"
Comedy, Crime, Drama            ",8.2,"28,093",34.0
Cheers,(1982–1993),"
Comedy, Drama            ",7.9,"49,886",22.0
Ocean's Eight,-2018,"
Action, Comedy, Crime            ",6.3,"197,909",110.0
America: The Motion Picture,-2021,"
Animation, Action, Adventure            ",5.7,"4,485",98.0
That '70s Show,(1998– ),"
Comedy, Romance            ",8.0,"157,990",22.0
Below Deck Mediterranean,(2016– ),"
Reality-TV            ",7.3,"1,327",43.0
Pirates of the Caribbean: Dead Men Tell No Tales,-2017,"
Action, Adventure, Fantasy            ",6.5,"276,173",129.0
Sense8,(2015–2018),"
Drama, Mystery, Sci-Fi            ",8.3,"144,032",60.0
Dead to Me,(2019– ),"
Comedy, Crime, Drama            ",8.0,"61,944",30.0
Narcos: México,(2018– ),"
Crime, Drama            ",8.4,"64,838",50.0
2001: A Space Odyssey,-1968,"
Adventure, Sci-Fi            ",8.3,"622,998",149.0
Adventure Time,(2010–2018),"
Animation, Action, Adventure            ",8.6,"81,525",11.0
Nanatsu no taizai,(2014–2021),"
Animation, Action, Adventure            ",8.0,"26,282",24.0
Slasher,(2016– ),"
Crime, Drama, Horror            ",6.7,"12,031",60.0
Anne,(2017–2019),"
Drama, Family            ",8.7,"43,433",60.0
The Tudors,(2007–2010),"
Drama, History, Romance            ",8.1,"70,514",60.0
Batman v Superman: Dawn of Justice,-2016,"
Action, Adventure, Sci-Fi            ",6.4,"657,423",152.0
Pose,(2018–2021),"
Drama            ",8.6,"23,179",60.0
Cider no yô ni kotoba ga wakiagaru,-2020,"
Animation, Drama, Romance            ",7.0,941,87.0
News of the World,-2020,"
Action, Adventure, Drama            ",6.8,"69,037",118.0
Mother!,-2017,"
Drama, Horror, Mystery            ",6.6,"201,141",121.0
Emily in Paris,(2020– ),"
Comedy, Drama, Romance            ",7.0,"55,757",30.0
National Lampoon's Animal House,-1978,"
Comedy            ",7.5,"115,289",109.0
The Affair,(2014–2019),"
Drama            ",7.9,"42,129",60.0
Honest Thief,-2020,"
Action, Crime, Drama            ",6.0,"40,186",99.0
The End of the F***ing World,(2017–2019),"
Adventure, Comedy, Crime            ",8.1,"157,802",25.0
Midnight in Paris,-2011,"
Comedy, Fantasy, Romance            ",7.7,"399,157",94.0
Lost in Space,(2018– ),"
Adventure, Drama, Family            ",7.3,"76,255",60.0
Wentworth,(2013–2021),"
Crime, Drama            ",8.6,"18,080",45.0
After Life,(2019– ),"
Comedy, Drama            ",8.4,"91,972",30.0
The Fresh Prince of Bel-Air,(1990–1996),"
Comedy            ",7.9,"125,167",22.0
Kill Bill: Vol. 2,-2004,"
Action, Crime, Thriller            ",8.0,"706,053",137.0
Bates Motel,(2013–2017),"
Drama, Horror, Mystery            ",8.1,"100,394",45.0
Moneyball,-2011,"
Biography, Drama, Sport            ",7.6,"386,263",133.0
Behind Her Eyes,-2021,"
Drama, Mystery, Thriller            ",7.2,"47,174",298.0
Biohackers,(2020– ),"
Drama, Sci-Fi, Thriller            ",6.8,"7,563",44.0
Extraction,-2020,"
Action, Thriller            ",6.7,"174,406",116.0
The IT Crowd,(2006–2013),"
Comedy            ",8.5,"138,970",25.0
Californication,(2007–2014),"
Comedy, Drama            ",8.3,"174,076",28.0
Beastars,(2019– ),"
Animation, Crime, Drama            ",7.8,"7,429",23.0
3rd Rock from the Sun,(1996–2001),"
Comedy, Family, Sci-Fi            ",7.7,"48,780",60.0
Big Mouth,(2017– ),"
Animation, Comedy, Romance            ",7.9,"61,304",30.0
Snowpiercer,-2013,"
Action, Drama, Sci-Fi            ",7.1,"335,946",126.0
Locke & Key,(2020– ),"
Drama, Fantasy, Horror            ",7.4,"47,717",48.0
300: Rise of an Empire,-2014,"
Action, Drama            ",6.2,"286,734",102.0
Kimi no na wa.,-2016,"
Animation, Drama, Fantasy            ",8.4,"217,433",106.0
Travelers,(2016–2018),"
Drama, Mystery, Sci-Fi            ",8.1,"49,197",45.0
Black Lightning,(2017–2021),"
Action, Drama, Sci-Fi            ",6.1,"23,354",43.0
Booksmart,-2019,"
Comedy            ",7.2,"103,143",102.0
The Water Man,(I) (2020),"
Adventure, Drama, Family            ",5.3,"1,978",91.0
Chesapeake Shores,(2016– ),"
Drama, Family            ",7.5,"5,407",42.0
Oxygène,-2021,"
Drama, Fantasy, Sci-Fi            ",6.5,"27,918",100.0
Jaws 2,-1978,"
Adventure, Horror, Thriller            ",5.8,"73,931",116.0
Enola Holmes,-2020,"
Action, Adventure, Crime            ",6.6,"145,206",123.0
Rurôni Kenshin: Sai shûshô - The Final,-2021,"
Action, Adventure, Drama            ",7.2,"4,682",138.0
Chilling Adventures of Sabrina,(2018–2020),"
Drama, Fantasy, Horror            ",7.5,"82,557",60.0
Marcella,(2016– ),"
Crime, Drama, Mystery            ",7.4,"26,485",45.0
Tropic Thunder,-2008,"
Action, Comedy, War            ",7.0,"391,033",107.0
Freaks and Geeks,(1999–2000),"
Comedy, Drama            ",8.7,"133,607",44.0
iZombie,(2015–2019),"
Comedy, Crime, Drama            ",7.8,"62,258",42.0
Spirit Untamed,-2021,"
Animation, Adventure, Family            ",5.4,"1,741",88.0
Poldark,(2015–2019),"
Drama, History, Romance            ",8.3,"27,588",60.0
Beauty and the Beast,(I) (2017),"
Family, Fantasy, Musical            ",7.1,"284,484",129.0
Penny Dreadful,(2014–2016),"
Drama, Fantasy, Horror            ",8.2,"115,055",60.0
Unbelievable,-2019,"
Crime, Drama            ",8.4,"81,658",385.0
Feel Good,(2020–2021),"
Comedy, Drama, Romance            ",7.5,"7,949",30.0
Bodyguard,-2018,"
Crime, Drama, Thriller            ",8.1,"103,187",60.0
The Legend of Korra,(2012–2014),"
Animation, Action, Adventure            ",8.4,"109,581",23.0
Bird Box,-2018,"
Horror, Sci-Fi            ",6.6,"297,927",124.0
She-Ra and the Princesses of Power,(2018–2020),"
Animation, Action, Adventure            ",7.9,"11,967",30.0
Scorpion,(2014–2018),"
Action, Crime, Drama            ",7.1,"48,387",43.0
Derry Girls,(2018– ),"
Comedy            ",8.4,"24,293",30.0
Hell or High Water,(II) (2016),"
Action, Crime, Drama            ",7.6,"211,816",102.0
The Babysitter,(I) (2017),"
Comedy, Horror            ",6.3,"79,593",85.0
Marriage Story,-2019,"
Comedy, Drama, Romance            ",7.9,"266,307",137.0
Annihilation,-2018,"
Adventure, Drama, Horror            ",6.8,"293,459",115.0
Fractured,(I) (2019),"
Mystery, Thriller            ",6.4,"62,113",99.0
